state,depressionRate,estimateTotal,percentNonexercise
AL,21.3,1903495,27.6
AK,15.6,352209,19.2
AZ,18.7,2642303,21.2
AR,21.5,1203581,30.7
CA,13.3,16324873,21.7
CO,17,2494655,16.4
CT,18.3,1669481,20.6
DE,18.3,418179,24.9
FL,16.2,8119626,20.8
GA,18.3,4198180,23.7
HI,10.7,655753,23.6
ID,19.5,646921,19.6
IL,16.7,5760499,18.7
IN,20.7,2872136,23.9
IA,18.7,1496763,26.1
KS,18.6,1356192,22.7
KY,23.9,1843320,23.8
LA,18.7,1944676,28.2
ME,23.7,588798,29.5
MD,15.9,2566158,19.7
MA,21.7,3301079,21.4
MI,20.5,4163414,20.1
MN,18.2,2676510,25.5
MS,19.9,1114900,20.2
MO,21.7,2680420,31.6
MT,20.4,451268,25
NE,17.7,945851,19.6
NV,15.6,1242626,21.3
NH,21,609754,22.5
NJ,13.4,3788421,19.3
NM,21.1,823518,23.3
NY,15.9,9159602,23.3
NC,19,4222716,25.9
ND,17.3,412070,23.2
OH,20.9,5157449,21.3
OK,21.8,1659430,25
OR,24,1714879,28.3
PA,19.7,5639759,16.5
RI,20.6,463474,23.3
SC,19.9,2010467,22.5
SD,16.6,411464,25.3
TN,21.4,2803100,21.2
TX,14.6,11793571,26.8
UT,20.7,1271953,27.6
VT,21.8,293707,16.8
VA,17.4,3787972,19
WA,21.6,3081499,23.5
WV,23.6,699801,18.1
WI,17,2706822,28.7
WY,19,288893,21.2
PR,18.5,990949,22.1
,,,40.6
